aggregate_date,region,carrier_name,technology_type,n_source_rows,n_unique_localities,sample_count_total,mean_download_kbps,mean_upload_kbps,mean_latency_ms,median_download_kbps_approx,median_upload_kbps_approx,median_latency_ms_approx,week_label,mean_minus_median_download,mean_minus_median_upload,mean_minus_median_latency,download_median_gap_pct,latency_median_gap_pct
2026-03-01,Fayoum,Operator A,Multi-RAT,331,69,921,89973.37242128122,18809.41476655809,35.870792616720955,77496.46471226927,15830.843648208469,34.65580890336591,2026-03-01,12476.907709011954,2978.5711183496205,1.2149837133550463,16.099970179719186,3.5058587630803855
2026-03-01,Fayoum,Operator B,5G,441,83,2752,253288.8691860465,26073.080668604653,37.81468023255814,230593.41351744186,19322.97819767442,34.928779069767444,2026-03-01,22695.45566860464,6750.102470930233,2.885901162790695,9.842195977071123,8.262244600724058
2026-03-01,Fayoum,Operator B,LTE,1423,257,13809,42763.80360634369,10556.109131725687,47.904482583822144,26236.54341371569,7047.865667318416,40.2415091606923,2026-03-01,16527.260192627997,3508.243464407271,7.662973423129841,62.993283574039836,19.04246034245404
2026-03-01,Fayoum,Operator B,Multi-RAT,1547,275,16822,74052.98674355011,12715.341754844845,47.846094400190225,39077.09701581263,8122.593805730591,39.8550707406967,2026-03-01,34975.88972773748,4592.747949114254,7.991023659493521,89.5048312150322,20.050205685204688
2026-03-01,Fayoum,Operator C,5G,57,10,288,123807.50694444444,17699.520833333332,36.017361111111114,109581.05555555556,13091.756944444445,35.333333333333336,2026-03-01,14226.451388888876,4607.763888888887,0.6840277777777786,12.982582907933688,1.935927672955977
2026-03-01,Fayoum,Operator C,LTE,317,63,791,23908.106194690266,7366.094816687737,59.72692793931732,19772.486725663715,5646.811630847029,49.76485461441214,2026-03-01,4135.619469026551,1719.283185840708,9.962073324905184,20.916031081000654,20.018290824103243
2026-03-01,Fayoum,Operator C,Multi-RAT,334,66,1060,49774.92358490566,9950.33679245283,53.89433962264151,30058.985849056604,6773.558490566038,46.20188679245283,2026-03-01,19715.937735849053,3176.778301886792,7.692452830188678,65.5908280966433,16.64965083513701
2026-03-01,Gharbia,Operator A,LTE,40,7,97,73131.18556701031,14897.62886597938,39.22680412371134,72918.67010309278,14816.690721649484,38.94845360824742,2026-03-01,212.51546391753072,80.93814432989711,0.2783505154639201,0.29144177152034634,0.7146638433033418
2026-03-01,Gharbia,Operator A,Multi-RAT,40,7,105,94565.44761904761,15590.419047619047,39.04761904761905,75124.6380952381,14339.952380952382,38.86666666666667,2026-03-01,19440.809523809512,1250.4666666666653,0.18095238095238386,25.878074113533465,0.46557216368537874
2026-03-01,Gharbia,Operator B,5G,39,6,446,419795.4147982063,44764.706278026904,40.446188340807176,417009.32286995515,34547.84529147982,38.044843049327355,2026-03-01,2786.091928251146,10216.860986547086,2.401345291479821,0.6681126237362304,6.311881188118812
2026-03-01,Gharbia,Operator B,LTE,81,12,558,97971.1971326165,16334.698924731183,43.41935483870968,88241.32437275986,11851.008960573477,42.32258064516129,2026-03-01,9729.872759856633,4483.689964157706,1.0967741935483915,11.026435549351579,2.5914634146341564
2026-03-01,Gharbia,Operator B,Multi-RAT,81,12,972,238999.88065843622,29152.6316872428,41.82304526748971,164218.95679012345,18018.62448559671,40.46399176954733,2026-03-01,74780.92386831276,11134.00720164609,1.3590534979423836,45.53732731592305,3.35867381963336
2026-03-01,Gharbia,Operator C,5G,24,4,134,426980.37313432834,33861.57462686567,46.64179104477612,416924.9253731343,31863.007462686568,46.149253731343286,2026-03-01,10055.447761194024,1998.567164179105,0.4925373134328339,2.411812570859064,1.0672703751617034
2026-03-01,Gharbia,Operator C,LTE,43,7,175,58725.862857142856,15137.417142857143,60.52571428571429,58141.834285714285,11432.08,59.02857142857143,2026-03-01,584.028571428571,3705.3371428571427,1.4971428571428547,1.0044894155877526,2.536302032913839
2026-03-01,Gharbia,Operator C,Multi-RAT,43,7,299,219180.10367892977,23123.709030100334,54.92307692307692,181012.5618729097,18549.956521739132,53.33444816053512,2026-03-01,38167.541806020075,4573.752508361202,1.588628762541802,21.085576277749055,2.978616667711788
2026-03-01,Giza,Operator A,5G,126,19,3474,274683.5569948187,33000.20811744387,25.510650546919976,253829.79533678756,26025.046344271734,21.374496257915947,2026-03-01,20853.761658031115,6975.161773172138,4.136154289004029,8.215647666721646,19.35088546225843
2026-03-01,Giza,Operator A,LTE,223,37,5298,86126.76274065685,15193.23442808607,31.602114005285014,69613.69856549641,10313.236881842204,27.08607021517554,2026-03-01,16513.06417516044,4879.997546243867,4.5160437901094745,23.720998187769094,16.672938356259838
2026-03-01,Giza,Operator A,Multi-RAT,230,38,8428,158076.20099667774,22047.10761746559,29.255695301376363,111150.40234931181,15173.114143331752,25.420977693402943,2026-03-01,46925.798647365926,6873.993474133838,3.8347176079734204,42.2182895028058,15.084854934468462
2026-03-01,Giza,Operator B,5G,186,29,8638,408287.26163463766,34418.22690437601,21.02280620514008,371817.4379485992,25149.184649224357,18.38284325075249,2026-03-01,36469.823686038435,9269.042255151653,2.639962954387588,9.808529661021465,14.361015422788437
2026-03-01,Giza,Operator B,LTE,341,58,10006,92598.61702978214,14913.041774935038,25.262242654407356,72128.01409154508,10025.204377373575,20.881171297221666,2026-03-01,20470.60293823706,4887.837397561463,4.381071357185689,28.380932424197503,20.980965554210126
2026-03-01,Giza,Operator B,Multi-RAT,364,61,18018,238894.69863469864,23983.888555888556,23.36052836052836,149502.2166167166,15484.745532245532,19.772172272172273,2026-03-01,89392.48201798202,8499.143023643024,3.588356088356086,59.79341580410159,18.14851721379348
2026-03-01,Giza,Operator C,5G,116,18,4143,302679.4595703597,21094.766835626357,28.380159304851556,280019.06879073137,12515.42095100169,21.822592324402606,2026-03-01,22660.390779628302,8579.345884624667,6.55756698044895,8.092445588612128,30.049440886617777
2026-03-01,Giza,Operator C,LTE,192,33,3231,37708.831012070565,11357.111730114515,37.260600433302386,24136.26740947075,8113.999380996595,30.70813989476942,2026-03-01,13572.563602599814,3243.1123491179196,6.552460538532966,56.2330677413448,21.337862081477162
2026-03-01,Giza,Operator C,Multi-RAT,195,33,7217,183440.74490785645,16601.80587501732,32.45919357073576,94992.13620617986,9760.49175557711,26.778162671470138,2026-03-01,88448.6087016766,6841.314119440209,5.681030899265625,93.1115061037257,21.215163149779062
2026-03-01,Ismailia,Operator A,5G,27,4,248,179015.9435483871,22903.53629032258,24.616935483870968,168435.06451612903,21345.91935483871,23.951612903225808,2026-03-01,10580.87903225806,1557.6169354838712,0.6653225806451601,6.281874301324505,2.777777777777773
2026-03-01,Ismailia,Operator A,LTE,169,29,854,66732.36533957845,10738.48711943794,31.05503512880562,56364.94379391101,8129.099531615925,30.53161592505855,2026-03-01,10367.421545667443,2609.387587822014,0.5234192037470713,18.393385760436818,1.7143514612257378
2026-03-01,Ismailia,Operator A,Multi-RAT,170,29,1060,91229.40754716982,13429.018867924528,29.95188679245283,69555.0141509434,9311.937735849056,28.88679245283019,2026-03-01,21674.393396226413,4117.081132075471,1.0650943396226396,31.161511015137123,3.6871325930764134
2026-03-01,Ismailia,Operator B,5G,106,16,2688,351491.8087797619,33203.85528273809,24.910342261904763,317378.8173363095,25670.3359375,23.155505952380953,2026-03-01,34112.99144345237,7533.519345238092,1.7548363095238102,10.748351679470982,7.578483981877191
2026-03-01,Ismailia,Operator B,LTE,365,69,3904,90979.88985655738,15550.916239754099,29.474129098360656,72075.5112704918,11398.392161885246,27.18314549180328,2026-03-01,18904.378586065577,4152.524077868853,2.2909836065573757,26.228573690056024,8.427956239457982
2026-03-01,Ismailia,Operator B,Multi-RAT,390,71,6427,196704.0819978217,22815.722732223432,27.689435195269954,138623.81639956433,15070.881437684768,25.722732223432395,2026-03-01,58080.26559825736,7744.841294538664,1.9667029718375595,41.89775401280894,7.645777885313329
2026-03-01,Ismailia,Operator C,5G,27,4,429,300594.50582750584,26585.272727272728,36.21911421911422,292881.99533799535,18403.361305361304,30.512820512820515,2026-03-01,7712.510489510489,8181.9114219114235,5.706293706293703,2.633316698286626,18.70129870129869
2026-03-01,Ismailia,Operator C,LTE,100,19,483,35227.132505175985,9902.753623188406,48.028985507246375,26390.86128364389,7973.204968944099,45.66873706004141,2026-03-01,8836.271221532093,1929.5486542443068,2.3602484472049667,33.48231467916698,5.168192945869974
2026-03-01,Ismailia,Operator C,Multi-RAT,112,21,916,158334.53384279477,17673.56113537118,42.69759825327511,112701.9497816594,11229.110262008733,38.17903930131004,2026-03-01,45632.58406113538,6444.450873362446,4.518558951965069,40.48961366643669,11.835182431659623
2026-03-01,Minya,Operator A,5G,14,2,102,115943.6862745098,16425.186274509804,36.754901960784316,113155.09803921569,16107.578431372549,36.470588235294116,2026-03-01,2788.5882352941117,317.60784313725526,0.2843137254902004,2.4643946968502313,0.7795698924731301
2026-03-01,Minya,Operator A,LTE,52,9,270,75950.19259259259,14766.292592592592,50.15555555555556,64830.45925925926,11361.755555555555,39.75555555555555,2026-03-01,11119.73333333333,3404.5370370370365,10.400000000000006,17.152019992431537,26.15986584684183
2026-03-01,Minya,Operator A,Multi-RAT,52,9,356,85875.80337078651,15440.123595505618,46.73314606741573,77960.22752808989,12270.609550561798,39.258426966292134,2026-03-01,7915.57584269662,3169.5140449438204,7.474719101123597,10.153351386570229,19.039782484258733
2026-03-01,Minya,Operator B,5G,56,9,1090,329119.8752293578,30192.28256880734,44.68899082568807,299079.3513761468,20170.01100917431,42.11651376146789,2026-03-01,30040.523853211023,10022.271559633027,2.5724770642201804,10.04433228672801,6.1080009584594865
2026-03-01,Minya,Operator B,LTE,140,23,1641,75715.97562461914,13842.08226691042,46.80377818403412,59864.03778184034,9825.058500914076,45.69530773918343,2026-03-01,15851.937842778796,4017.023765996344,1.1084704448506955,26.479900838876354,2.4257861467473814
2026-03-01,Minya,Operator B,Multi-RAT,146,25,2625,173942.83695238095,20568.139428571427,46.05104761904762,110340.84723809524,12838.966476190477,44.18742857142857,2026-03-01,63601.98971428571,7729.17295238095,1.8636190476190535,57.64138241302816,4.217532243603021
2026-03-01,Minya,Operator C,5G,13,2,258,280261.5620155039,30534.523255813954,36.29457364341085,248696.78294573643,17473.8488372093,35.12015503875969,2026-03-01,31564.77906976745,13060.674418604653,1.1744186046511587,12.692073735692281,3.344001765809501
2026-03-01,Minya,Operator C,LTE,30,5,170,39903.111764705885,11389.341176470589,49.65294117647059,35319.73529411765,10313.5,44.55294117647059,2026-03-01,4583.376470588235,1075.8411764705888,5.100000000000001,12.976814328932914,11.44705571692633
2026-03-01,Minya,Operator C,Multi-RAT,41,7,433,181107.84988452657,22498.108545034644,42.18937644341801,127768.07621247113,12440.496535796767,40.198614318706696,2026-03-01,53339.77367205544,10057.612009237877,1.990762124711317,41.74734037894912,4.952315293576929
2026-03-01,Monufia,Operator A,LTE,90,17,165,102330.92121212122,15400.103030303031,31.606060606060606,94415.5090909091,15204.321212121213,30.70909090909091,2026-03-01,7915.4121212121245,195.78181818181838,0.8969696969696948,8.383593116667596,2.920860469705933
2026-03-01,Monufia,Operator A,Multi-RAT,90,17,198,135087.58585858587,18759.333333333332,30.696969696969695,104914.32828282828,16155.373737373737,30.217171717171716,2026-03-01,30173.257575757583,2603.9595959595954,0.4797979797979792,28.759901597440958,1.5878321912084221
2026-03-01,Monufia,Operator B,5G,75,12,383,312402.8772845953,39923.80678851175,34.8355091383812,305375.82506527414,39537.70757180157,32.75718015665797,2026-03-01,7027.052219321136,386.09921671017946,2.0783289817232315,2.301116081411848,6.344651681810917
2026-03-01,Monufia,Operator B,LTE,141,27,500,59440.944,18856.008,38.81,47881.0,17254.432,35.686,2026-03-01,11559.944000000003,1601.576000000001,3.1240000000000023,24.14307136442431,8.75413327355266
2026-03-01,Monufia,Operator B,Multi-RAT,167,31,869,169403.1749136939,27964.421173762945,36.53164556962025,118002.58918296894,21951.451093210588,34.28308400460299,2026-03-01,51400.58573072495,6012.970080552357,2.248561565017262,43.55886263734923,6.5588077336197665
2026-03-01,Monufia,Operator C,LTE,45,10,64,44082.78125,16558.9375,48.203125,42204.3125,15997.09375,48.203125,2026-03-01,1878.46875,561.84375,0.0,4.450892903420711,0.0
2026-03-01,Monufia,Operator C,Multi-RAT,46,10,85,106153.89411764705,15364.094117647059,47.188235294117646,54653.705882352944,13620.282352941176,46.16470588235294,2026-03-01,51500.18823529411,1743.8117647058825,1.0235294117647058,94.23000216335363,2.217125382262997
2026-03-01,Port Said,Operator A,5G,37,7,4418,375544.92213671346,33246.092575826166,21.59732910819375,337849.4687641467,26060.503168854684,19.014486192847443,2026-03-01,37695.453372566786,7185.589406971481,2.5828429153463084,11.157470074011586,13.58355355569839
2026-03-01,Port Said,Operator A,LTE,234,46,5220,80602.33199233716,14524.112643678161,28.76168582375479,64205.016475095785,10695.733333333334,24.995593869731803,2026-03-01,16397.315517241375,3828.379310344828,3.7660919540229862,25.538994330141882,15.067023306789693
2026-03-01,Port Said,Operator A,Multi-RAT,237,46,9316,213826.42153284673,23013.615178188065,25.891584370974666,139115.28381279518,16025.986152855303,22.609703735508802,2026-03-01,74711.13772005154,6987.6290253327625,3.281880635465864,53.70447852486785,14.515363287629604
2026-03-01,Port Said,Operator B,5G,181,29,20574,402179.50087489065,38540.67536696802,22.513852435112277,386743.7334985905,27737.810051521337,20.62039467288811,2026-03-01,15435.76737630018,10802.865315446681,1.8934577622241662,3.9912133124081857,9.182451608036883
2026-03-01,Port Said,Operator B,LTE,611,121,18728,74497.38733447244,19375.92839598462,33.79666809055959,52859.81343442973,13814.478374626227,28.210273387441266,2026-03-01,21637.573900042713,5561.450021358394,5.5863947031183265,40.933882460412335,19.802696083070554
2026-03-01,Port Said,Operator B,Multi-RAT,630,124,38163,245488.23124492308,29275.479522050155,27.837460367371538,170473.39108560648,20200.604171579802,25.30909519691848,2026-03-01,75014.8401593166,9074.875350470353,2.528365170453057,44.0038411165567,9.9899468976706
2026-03-01,Port Said,Operator C,5G,80,13,8170,402573.8388004896,27229.58984088127,25.246511627906976,354194.34908200736,17627.863525091798,16.43941248470012,2026-03-01,48379.48971848225,9601.726315789474,8.807099143206855,13.659023596472128,53.573077209440854
2026-03-01,Port Said,Operator C,LTE,249,51,5025,45513.54865671642,13332.451542288558,36.9363184079602,29368.573333333334,9584.622686567163,25.745074626865673,2026-03-01,16144.975323383085,3747.8288557213946,11.191243781094528,54.973645264063734,43.469455588278485
2026-03-01,Port Said,Operator C,Multi-RAT,262,52,12846,266877.6517203799,21770.442160983963,29.9535263895376,175630.8973221236,13213.365172037988,19.971352950334733,2026-03-01,91246.75439825628,8557.076988945975,9.982173439202867,51.9537027877852,49.98245969627991
2026-03-01,Sharqia,Operator A,5G,30,5,333,361045.42642642645,42447.67267267267,26.36936936936937,306296.5675675676,35476.81981981982,24.48048048048048,2026-03-01,54748.858858858875,6970.852852852848,1.8888888888888893,17.87446045956148,7.715897939156037
2026-03-01,Sharqia,Operator A,LTE,236,47,1809,71373.01216141514,17224.023217247097,37.74516307352128,55052.87672747374,12422.077943615257,36.23825317855169,2026-03-01,16320.135433941403,4801.94527363184,1.5069098949695956,29.644473466355585,4.158340324918005
2026-03-01,Sharqia,Operator A,Multi-RAT,241,48,2152,115727.83550185873,21295.060408921934,36.019052044609666,66798.19749070633,15920.699349442379,34.82295539033457,2026-03-01,48929.638011152405,5374.3610594795555,1.1960966542750953,73.24993764683548,3.434793632154159
2026-03-01,Sharqia,Operator B,5G,97,16,4450,268396.92,34546.42426966292,36.01595505617978,233390.35146067417,26393.06808988764,33.456853932584266,2026-03-01,35006.56853932582,8153.356179775281,2.559101123595511,14.999149844985926,7.648959249880795
2026-03-01,Sharqia,Operator B,LTE,511,98,14323,34444.492494589125,11171.113872792013,50.61404733645186,16315.4410388885,6596.157369266215,40.31201563918174,2026-03-01,18129.051455700625,4574.956503525798,10.302031697270124,111.11591413611997,25.555734522133257
2026-03-01,Sharqia,Operator B,Multi-RAT,533,102,19150,86252.88140992167,16149.92177545692,48.067676240208876,28503.069817232375,8441.63817232376,39.19728459530026,2026-03-01,57749.81159268929,7708.283603133161,8.870391644908615,202.60909425894516,22.630117714766833
2026-03-01,Sharqia,Operator C,5G,28,4,526,180528.19961977185,21638.152091254753,36.78326996197718,156559.2186311787,15521.733840304183,31.55703422053232,2026-03-01,23968.98098859316,6116.41825095057,5.226235741444864,15.309849651881022,16.561238628833053
2026-03-01,Sharqia,Operator C,LTE,167,33,1086,36545.84990791897,9821.917127071823,49.533149171270715,26633.0423572744,7249.127992633517,39.02394106813996,2026-03-01,9912.807550644571,2572.789134438306,10.509208103130753,37.219959393550255,26.93015573383671
2026-03-01,Sharqia,Operator C,Multi-RAT,176,35,1572,80923.00381679389,13270.740458015267,45.2557251908397,46616.82251908397,7596.717557251908,37.56806615776082,2026-03-01,34306.18129770992,5674.022900763359,7.68765903307888,73.59184827251079,20.46328123677125
2026-03-01,Sohag,Operator A,5G,7,1,39,292815.7948717949,25089.102564102563,39.51282051282051,356714.07692307694,25679.846153846152,35.87179487179487,2026-03-01,-63898.28205128206,-590.7435897435898,3.6410256410256423,-17.913025076681038,10.150107219442463
2026-03-01,Sohag,Operator A,LTE,46,8,205,54601.082926829265,20243.70731707317,46.390243902439025,37167.88292682927,13442.770731707316,43.25365853658536,2026-03-01,17433.199999999997,6800.936585365855,3.136585365853662,46.90393594469707,7.251607082440518
2026-03-01,Sohag,Operator A,Multi-RAT,46,8,250,87815.148,20355.312,45.124,40407.832,12747.308,41.912,2026-03-01,47407.316,7608.004000000001,3.2120000000000033,117.32209735973956,7.663676274098119
2026-03-01,Sohag,Operator B,5G,51,8,1494,299005.15394912986,31549.09437751004,37.14390896921017,274104.1385542169,20889.180053547523,32.21084337349398,2026-03-01,24901.015394912974,10659.914323962515,4.933065595716194,9.084509094337383,15.31492217858403
2026-03-01,Sohag,Operator B,LTE,106,18,6059,35259.68377620069,11885.670077570556,48.216207294933156,15128.127908895858,6805.018814985971,38.20465423337184,2026-03-01,20131.555867304833,5080.651262584584,10.011553061561315,133.07367566258338,26.205061300662692
2026-03-01,Sohag,Operator B,Multi-RAT,113,19,7699,85102.58111443045,15465.38381608001,46.65826730744252,22048.458760878035,7851.526561891154,37.88232237952981,2026-03-01,63054.12235355241,7613.857254188855,8.775944927912711,285.9797278231225,23.166332940176083
