aggregate_date,week_label,region,5G,LTE,Multi-RAT,fiveg_minus_lte_kbps,fiveg_minus_lte_pct,fiveg_underperform_lte
2026-03-01,2026-03-01,Alexandria,349320.8370497427,74702.29445506692,157171.92805529374,274618.5425946758,367.61727949314536,False
2026-03-01,2026-03-01,Assiut,366469.6227642276,68100.13626609443,146565.0966122961,298369.48649813316,438.13346471479065,False
2026-03-01,2026-03-01,Cairo,269286.3708197231,31293.01637861736,82889.4020066056,237993.35444110577,760.5318437877645,False
2026-03-01,2026-03-01,Dakahlia,293859.53043254156,30289.538525084994,77797.2191650854,263569.99190745654,870.1683972146848,False
2026-03-01,2026-03-01,Fayoum,218953.1031347962,27504.693619791666,40450.55017816306,191448.40951500455,696.0572335815557,False
2026-03-01,2026-03-01,Gharbia,416989.8241379311,80104.3265060241,161069.52688953487,336885.497631907,420.55842964558497,False
2026-03-01,2026-03-01,Giza,323204.1058135958,63043.46177502023,128213.90776223152,260160.64403857559,412.6687156980635,False
2026-03-01,2026-03-01,Ismailia,303278.6130757801,65305.33180690708,127085.39438295845,237973.28126887302,364.4009986389864,False
2026-03-01,2026-03-01,Minya,277035.91931034485,58503.34694858241,109174.61687170474,218532.57236176243,373.5385815683793,False
2026-03-01,2026-03-01,Monufia,305375.82506527414,57915.137174211246,111078.86458333333,247460.6878910629,427.2815363394382,False
2026-03-01,2026-03-01,Port Said,372210.7339123093,50829.594898698786,166729.02635723166,321381.1390136105,632.2716906442189,False
2026-03-01,2026-03-01,Sharqia,230351.09625164815,21036.13660123127,33350.754262481416,209314.9596504169,995.0256723383583,False
2026-03-01,2026-03-01,Sohag,268158.59767141007,15721.821652065082,22722.795792840447,252436.77601934498,1605.6458443935285,False
2026-03-08,2026-03-08,Alexandria,353213.69825918763,69720.61001788909,127896.87503914813,283493.08824129857,406.61303475193233,False
2026-03-08,2026-03-08,Assiut,360934.9924698795,70340.48324324323,192946.7043422733,290594.50922663626,413.1255513581508,False
2026-03-08,2026-03-08,Cairo,285511.8623988227,31901.249811225778,92222.74574459966,253610.6125875969,794.9864475164026,False
2026-03-08,2026-03-08,Dakahlia,281798.4760313061,27326.639584674373,65130.527539841474,254471.8364466317,931.2225737018445,False
2026-03-08,2026-03-08,Fayoum,197472.6244897959,33316.562946632206,45243.111069087245,164156.0615431637,492.71607580324354,False
2026-03-08,2026-03-08,Gharbia,390938.3796610169,76024.96551724138,197186.29547198772,314913.41414377553,414.22368560280063,False
2026-03-08,2026-03-08,Giza,301663.2403507649,59591.2172016553,120865.21804970385,242072.0231491096,406.2209743592642,False
2026-03-08,2026-03-08,Ismailia,308692.6685552408,64098.56526806527,128666.41649230769,244594.10328717553,381.59060544376246,False
2026-03-08,2026-03-08,Minya,311236.2366906475,43478.44424460432,111826.91102295269,267757.79244604317,615.8403252417937,False
2026-03-08,2026-03-08,Monufia,314370.5706940874,51657.23903177005,127486.49284436494,262713.3316623174,508.57021510720773,False
2026-03-08,2026-03-08,Port Said,356985.00383010524,45889.03635726795,149760.38249341378,311095.9674728373,677.9309224338629,False
2026-03-08,2026-03-08,Sharqia,236901.9103343465,19528.460608085534,32807.70103561506,217373.44972626097,1113.111033627812,False
2026-03-08,2026-03-08,Sohag,216366.08829174668,18494.904949121184,27041.885156107357,197871.1833426255,1069.8686145560735,False
2026-03-15,2026-03-15,Alexandria,319992.62058823527,63017.16418703507,121651.43801065719,256975.4564012002,407.7864494798537,False
2026-03-15,2026-03-15,Assiut,331888.02338129503,79402.95930949444,147201.90153172865,252485.0640718006,317.979413195007,False
2026-03-15,2026-03-15,Cairo,289305.9649733716,35566.38205273604,93537.3246224334,253739.58292063556,713.4253423482977,False
2026-03-15,2026-03-15,Dakahlia,276268.249594544,25870.99981493232,60418.098016374344,250397.24977961168,967.8684688292815,False
2026-03-15,2026-03-15,Fayoum,205315.15365344466,36815.28298747921,50833.946798527395,168499.87066596546,457.6900053254293,False
2026-03-15,2026-03-15,Gharbia,312683.92805755395,93630.60217983651,168826.15172955973,219053.32587771743,233.95484038111942,False
2026-03-15,2026-03-15,Giza,308765.1346454021,57250.46421052632,114691.03473773638,251514.67043487576,439.32337301228586,False
2026-03-15,2026-03-15,Ismailia,317899.3243526942,62768.12457234856,127121.29556520595,255131.19978034566,406.4661825068124,False
2026-03-15,2026-03-15,Minya,244099.07037037038,48126.81359747861,102459.70456553756,195972.25677289176,407.19973362865403,False
2026-03-15,2026-03-15,Monufia,241011.6120689655,63735.597701149425,111432.98282442748,177276.0143678161,278.1428601313942,False
2026-03-15,2026-03-15,Port Said,350355.2832346744,48096.32369161508,152647.21189862778,302258.95954305935,628.4450376729188,False
2026-03-15,2026-03-15,Sharqia,233281.4866776704,21880.580125267337,35238.88960256925,211400.90655240306,966.157685683483,False
2026-03-15,2026-03-15,Sohag,192888.1859052248,20713.240082787164,33072.91118769883,172174.9458224376,831.231353155203,False
