week_label,region,carrier_name,technology_type,sample_count_total,mean_download_kbps,median_download_kbps_approx,download_median_gap_pct,example_type,mean_latency_ms,median_latency_ms_approx,latency_median_gap_pct
2026-03-01,Sohag,Operator B,Multi-RAT,7699.0,85102.58111443045,22048.458760878035,285.9797278231225,download_gap,,,
2026-03-08,Sohag,Operator B,Multi-RAT,5016.0,77237.58054226475,25142.463915470493,207.19972713071863,download_gap,,,
2026-03-08,Sharqia,Operator B,Multi-RAT,16446.0,85559.35692569622,28034.153654384045,205.19686087372304,download_gap,,,
2026-03-01,Sharqia,Operator B,Multi-RAT,19150.0,86252.88140992167,28503.069817232372,202.6090942589452,download_gap,,,
2026-03-15,Sharqia,Operator B,Multi-RAT,14214.0,88466.16772196426,29902.368861685663,195.85003158501345,download_gap,,,
2026-03-15,Sohag,Operator B,Multi-RAT,3279.0,88798.20951509607,30904.27386398292,187.3331044952493,download_gap,,,
2026-03-08,Dakahlia,Operator B,Multi-RAT,33137.0,145701.70842260917,51225.27060385672,184.4332625382742,download_gap,,,
2026-03-15,Dakahlia,Operator B,Multi-RAT,35859.0,136669.57804177472,48447.856939680416,182.09623020463837,download_gap,,,
2026-03-01,Dakahlia,Operator B,Multi-RAT,28353.0,162939.432299933,66866.93605614926,143.67713239187464,download_gap,,,
2026-03-01,Sohag,Operator B,LTE,6059.0,35259.68377620069,15128.127908895858,133.07367566258338,download_gap,,,
2026-03-01,Port Said,Operator C,5G,8170.0,,,,latency_gap,25.246511627906976,16.43941248470012,53.57307720944085
2026-03-08,Cairo,Operator C,LTE,1132.0,,,,latency_gap,54.42226148409894,35.773851590106005,52.12860529435006
2026-03-01,Port Said,Operator C,Multi-RAT,12846.0,,,,latency_gap,29.9535263895376,19.971352950334733,49.98245969627991
2026-03-08,Port Said,Operator C,5G,7776.0,,,,latency_gap,23.528034979423868,16.37255658436214,43.70409934570703
2026-03-01,Port Said,Operator C,LTE,5025.0,,,,latency_gap,36.9363184079602,25.745074626865676,43.469455588278485
2026-03-15,Port Said,Operator C,5G,6751.0,,,,latency_gap,24.614131239816324,17.46378314323804,40.94386673226008
2026-03-08,Port Said,Operator C,Multi-RAT,12188.0,,,,latency_gap,28.06744338693797,20.090088611749263,39.7079123410303
2026-03-08,Cairo,Operator C,Multi-RAT,2682.0,,,,latency_gap,40.63870246085011,29.21476510067114,39.10330040585037
2026-03-15,Sharqia,Operator C,LTE,868.0,,,,latency_gap,58.163594470046085,41.8836405529954,38.86948150185668
2026-03-08,Cairo,Operator C,5G,1613.0,,,,latency_gap,30.141971481711096,22.223186608803477,35.63298554929418
